file,var,varlabel,samp1,samp2,samp3,samp4,samp5
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii.csv","name","","Linton Tzofiya","Xin Joo-Won","Loke Emil","SigfrÃ¸dr Sayen","William Salvin"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii.csv","birthdate","","20040404","20161109","20130522","20150620","20160207"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii.csv","address","","4 Bayport Rd. Saint Paul MN 55104","9520 Squaw Creek Drive Temple Hills MD 20748","823 Manhattan Dr. Sarasota FL 34231","908 Sage Ave. Muscatine IA 52761","89 Delaware Lane Raeford NC 28376"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii.csv","gender","","M","F","NA","NA","NA"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii.sas7bdat","Name","","Linton Tzofiya","Xin Joo-Won","Loke Emil","Sigfr¿dr Sayen","William Salvin"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii.sas7bdat","Birthdate","","20040404","20161109","20130522","20150620","20160207"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii.sas7bdat","Address","","4 Bayport Rd. Saint Paul MN 55104","9520 Squaw Creek Drive Temple Hills MD 20748","823 Manhattan Dr. Sarasota FL 34231","908 Sage Ave. Muscatine IA 52761","89 Delaware Lane Raeford NC 28376"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii.sas7bdat","Gender","","M","F","NA","NA","NA"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii_spss.sav","name","Name","Linton Tzofiya","Xin Joo-Won","Loke Emil","SigfrÃ¸dr Sayen","William Salvin"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii_spss.sav","birthdate","Birthdate","20040404","20161109","20130522","20150620","20160207"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii_spss.sav","address","Address","4 Bayport Rd. Saint Paul MN 55104","9520 Squaw Creek Drive Temple Hills MD 20748","823 Manhattan Dr. Sarasota FL 34231","908 Sage Ave. Muscatine IA 52761","89 Delaware Lane Raeford NC 28376"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii_spss.sav","gender","Gender","M","F","NA","NA","NA"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii_Stata12.dta","name","Name","Linton Tzofiya","Xin Joo-Won","Loke Emil","SigfrÃƒÂ¸dr Sayen","William Salvin"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii_Stata12.dta","birthdate","Birthdate","20040404","20161109","20130522","20150620","20160207"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii_Stata12.dta","address","Address","4 Bayport Rd. Saint Paul MN 55104","9520 Squaw Creek Drive Temple Hills MD 20748","823 Manhattan Dr. Sarasota FL 34231","908 Sage Ave. Muscatine IA 52761","89 Delaware Lane Raeford NC 28376"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii_Stata12.dta","gender","Gender","M","F","NA","NA","NA"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii_Stata14.dta","name","Name","Linton Tzofiya","Xin Joo-Won","Loke Emil","SigfrÃ¸dr Sayen","William Salvin"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii_Stata14.dta","birthdate","Birthdate","20040404","20161109","20130522","20150620","20160207"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii_Stata14.dta","address","Address","4 Bayport Rd. Saint Paul MN 55104","9520 Squaw Creek Drive Temple Hills MD 20748","823 Manhattan Dr. Sarasota FL 34231","908 Sage Ave. Muscatine IA 52761","89 Delaware Lane Raeford NC 28376"
"C:\Users\iwm9\Downloads\PII-Scan-master\PII-Scan-master\example_files\pii_Stata14.dta","gender","Gender","M","F","NA","NA","NA"
